Test Time / s,Voltage / V,Current / A,Unix Time / s,Cycle Count / 1,Step Index / 1,Charging Capacity / Ah,Discharging Capacity / Ah,Protocol Name / 1,Step Type / 1,Maximum Cell Temperature / degC,External Temperature / degC,data_point,step_time
265719.99999999994,3.34154814520946,-0.0605515800906498,265720.0,2,2,4.0241570935244404e-05,0.0,A with temperature: 15,charge,15.212931409927,15,615,2392.4999999998254
265780.00000000006,3.34291829706734,-0.0605515800906498,265780.0,2,2,4.12507639367552e-05,0.0,A with temperature: 15,charge,15.2186004773152,15,616,2452.499999999942
265839.9999999999,3.34429641222686,-0.0605515800906498,265840.0,2,2,4.2259956938266004e-05,0.0,A with temperature: 15,charge,15.2244641007172,15,617,2512.499999999767
265899.99999999994,3.3456824157165,-0.0605515800906498,265900.0,2,2,4.3269149939776905e-05,0.0,A with temperature: 15,charge,15.230462064191,15,618,2572.4999999998254
265960.00000000006,3.34707533361336,-0.0605515800906498,265960.0,2,2,4.42783429412877e-05,0.0,A with temperature: 15,charge,15.236576199235,15,619,2632.499999999942
266019.9999999998,3.34847522432471,-0.0605515800906498,266020.0,2,2,4.5287535942798505e-05,0.0,A with temperature: 15,charge,15.2427875337717,15,620,2692.499999999709
266079.99999999994,3.34988176938116,-0.0605515800906498,266080.0,2,2,4.62967289443094e-05,0.0,A with temperature: 15,charge,15.2490754302465,15,621,2752.4999999998254
266140.0000000001,3.35129477074523,-0.0605515800906498,266140.0,2,2,4.73059219458202e-05,0.0,A with temperature: 15,charge,15.255423470664,15,622,2812.5
266199.9999999998,3.35271390467788,-0.0605515800906498,266200.0,2,2,4.8315114947331e-05,0.0,A with temperature: 15,charge,15.2618235941322,15,623,2872.499999999709
266259.99999999994,3.35413897616546,-0.0605515800906498,266260.0,2,2,4.93243079488419e-05,0.0,A with temperature: 15,charge,15.2682692099281,15,624,2932.4999999998254
266320.0000000001,3.35536660928927,-0.0605515800906498,266320.0,2,2,5.033350095035271e-05,0.0,A with temperature: 15,charge,15.2747477566753,15,625,2992.5
266379.9999999998,3.35630858479845,-0.0605515800906498,266380.0,2,2,5.13426939518635e-05,0.0,A with temperature: 15,charge,15.28126548105,15,626,3052.499999999709
266440.0,3.35719692387745,-0.0605515800906498,266440.0,2,2,5.23518869533744e-05,0.0,A with temperature: 15,charge,15.2878196408389,15,627,3112.4999999998836
266500.00000000006,3.35809053879914,-0.0605515800906498,266500.0,2,2,5.33610799548852e-05,0.0,A with temperature: 15,charge,15.2944061107793,15,628,3172.499999999942
266560.0000000002,3.35899788781609,-0.0605515800906498,266560.0,2,2,5.4370272956396e-05,0.0,A with temperature: 15,charge,15.3007502579964,15,629,3232.500000000058
266619.99999999994,3.35992542405143,-0.0605515800906498,266620.0,2,2,5.53794659579069e-05,0.0,A with temperature: 15,charge,15.3064289432342,15,630,3292.4999999998254
266680.00000000006,3.36087905081358,-0.0605515800906498,266680.0,2,2,5.63886589594177e-05,0.0,A with temperature: 15,charge,15.3109073011507,15,631,3352.499999999942
266739.9999999999,3.36183755911287,-0.0605515800906498,266740.0,2,2,5.73978519609285e-05,0.0,A with temperature: 15,charge,15.3144972575475,15,632,3412.499999999767
266799.99999999994,3.36280081039766,-0.0605515800906498,266800.0,2,2,5.8407044962439396e-05,0.0,A with temperature: 15,charge,15.3174304094214,15,633,3472.4999999998254
266860.00000000006,3.36376868622174,-0.0605515800906498,266860.0,2,2,5.94162379639502e-05,0.0,A with temperature: 15,charge,15.319879195838,15,634,3532.499999999942
266919.9999999998,3.36474108489543,-0.0605515800906498,266920.0,2,2,6.0425430965461e-05,0.0,A with temperature: 15,charge,15.3219720938721,15,635,3592.499999999709
266979.99999999994,3.36560651483549,-0.0605515800906498,266980.0,2,2,6.14346239669719e-05,0.0,A with temperature: 15,charge,15.3237970297288,15,636,3652.4999999998254
267040.0000000001,3.36632712161711,-0.0605515800906498,267040.0,2,2,6.24438169684827e-05,0.0,A with temperature: 15,charge,15.3254274796623,15,637,3712.5
267099.9999999998,3.36682045345838,-0.0605515800906498,267100.0,2,2,6.34530099699935e-05,0.0,A with temperature: 15,charge,15.326924249745,15,638,3772.499999999709
267159.99999999994,3.36729184858395,-0.0605515800906498,267160.0,2,2,6.44622029715043e-05,0.0,A with temperature: 15,charge,15.3284377290474,15,639,3832.4999999998254
267220.0000000001,3.36774817699046,-0.0605515800906498,267220.0,2,2,6.54713959730152e-05,0.0,A with temperature: 15,charge,15.3305959488162,15,640,3892.5
267279.9999999998,3.36820863989852,-0.0605515800906498,267280.0,2,2,6.6480588974526e-05,0.0,A with temperature: 15,charge,15.3332399097574,15,641,3952.499999999709
267340.0,3.36867326088003,-0.0605515800906498,267340.0,2,2,6.748978197603681e-05,0.0,A with temperature: 15,charge,15.3362513759408,15,642,4012.4999999998836
267400.00000000006,3.36914206723995,-0.0605515800906498,267400.0,2,2,6.849897497754761e-05,0.0,A with temperature: 15,charge,15.3395422683998,15,643,4072.499999999942
267460.0000000002,3.36961509394439,-0.0605515800906498,267460.0,2,2,6.950816797905849e-05,0.0,A with temperature: 15,charge,15.3430468963764,15,644,4132.500000000058
267519.99999999994,3.37009673475903,-0.0605515800906498,267520.0,2,2,7.051736098056929e-05,0.0,A with temperature: 15,charge,15.3465782883611,15,645,4192.499999999825
267580.00000000006,3.3705860044782,-0.0605515800906498,267580.0,2,2,7.15265539820801e-05,0.0,A with temperature: 15,charge,15.3500282423439,15,646,4252.499999999942
267639.9999999999,3.37104964021849,-0.0605515800906498,267640.0,2,2,7.25357469835909e-05,0.0,A with temperature: 15,charge,15.3531632330044,15,647,4312.499999999767
267699.99999999994,3.37145570267827,-0.0605515800906498,267700.0,2,2,7.35449399851018e-05,0.0,A with temperature: 15,charge,15.3559475536628,15,648,4372.499999999825
267760.00000000006,3.37179983222092,-0.0605515800906498,267760.0,2,2,7.455413298661261e-05,0.0,A with temperature: 15,charge,15.3584763334528,15,649,4432.499999999942
267819.9999999998,3.37204338116926,-0.0605515800906498,267820.0,2,2,7.55633259881234e-05,0.0,A with temperature: 15,charge,15.3608250687311,15,650,4492.499999999709
267879.99999999994,3.3723137566156,-0.0605515800906498,267880.0,2,2,7.65725189896342e-05,0.0,A with temperature: 15,charge,15.3628634821525,15,651,4552.499999999825
267940.0000000001,3.3726292943813,-0.0605515800906498,267940.0,2,2,7.758171199114509e-05,0.0,A with temperature: 15,charge,15.3641437310372,15,652,4612.5
267999.9999999998,3.37294989387587,-0.0605515800906498,268000.0,2,2,7.85909049926559e-05,0.0,A with temperature: 15,charge,15.3648654371862,15,653,4672.499999999709
268059.99999999994,3.37327580633844,-0.0605515800906498,268060.0,2,2,7.96000979941667e-05,0.0,A with temperature: 15,charge,15.3651775767856,15,654,4732.499999999825
268120.0000000001,3.37360733158246,-0.0605515800906498,268120.0,2,2,8.06092909956775e-05,0.0,A with temperature: 15,charge,15.3651914964483,15,655,4792.5
268179.9999999998,3.37394483198845,-0.0605515800906498,268180.0,2,2,8.161848399718841e-05,0.0,A with temperature: 15,charge,15.3649907033883,15,656,4852.499999999709
268240.0,3.3744833611543,-0.0605515800906498,268240.0,2,2,8.26276769986992e-05,0.0,A with temperature: 15,charge,15.3646876213921,15,657,4912.499999999884
268300.00000000006,3.3752563064042,-0.0605515800906498,268300.0,2,2,8.363687000021e-05,0.0,A with temperature: 15,charge,15.3643134855581,15,658,4972.499999999942
268360.0000000002,3.3760119137051,-0.0605515800906498,268360.0,2,2,8.46460630017208e-05,0.0,A with temperature: 15,charge,15.3638344183496,15,659,5032.500000000058
268419.99999999994,3.37676651403006,-0.0605515800906498,268420.0,2,2,8.565525600323171e-05,0.0,A with temperature: 15,charge,15.3632640854637,15,660,5092.499999999825
